datetime,open,high,low,close,volume,hourly
2023-12-01 00:00:00,2033.04,2036.1,2028.66,2035.62,3891.1008,0
2023-12-01 00:15:00,2035.61,2035.96,2030.37,2033.73,2465.1018,0
2023-12-01 00:30:00,2033.72,2038.28,2032.26,2038.21,1684.8442,0
2023-12-01 00:45:00,2038.21,2039.23,2034.88,2035.22,2185.8094,0
2023-12-01 01:00:00,2035.23,2037.18,2034.11,2035.26,1293.1889,1
2023-12-01 01:15:00,2035.26,2037.09,2033.89,2037.09,2274.9623,1
2023-12-01 01:30:00,2037.09,2039.09,2035.6,2038.66,1565.3577,1
2023-12-01 01:45:00,2038.66,2041.11,2037.89,2039.48,1906.8751,1
2023-12-01 02:00:00,2039.49,2041.0,2037.82,2039.95,956.7915,2
2023-12-01 02:15:00,2039.96,2044.0,2039.09,2043.99,1721.9279,2
2023-12-01 02:30:00,2043.99,2044.0,2040.86,2041.45,1658.7036,2
2023-12-01 02:45:00,2041.46,2041.46,2037.31,2038.97,2040.5162,2
2023-12-01 03:00:00,2038.98,2039.57,2036.47,2037.71,1609.7467,3
2023-12-01 03:15:00,2037.72,2042.43,2037.71,2042.42,1172.8239,3
2023-12-01 03:30:00,2042.42,2043.89,2041.32,2043.11,1746.1398,3
2023-12-01 03:45:00,2043.1,2044.0,2040.69,2041.43,1522.203,3
2023-12-01 04:00:00,2041.43,2042.51,2040.23,2041.69,3053.2555,4
2023-12-01 04:15:00,2041.69,2042.74,2039.66,2040.99,1961.2612,4
2023-12-01 04:30:00,2040.98,2046.0,2040.98,2044.85,2276.7108,4
2023-12-01 04:45:00,2044.84,2045.56,2042.71,2043.44,3633.5134,4
2023-12-01 05:00:00,2043.45,2044.68,2040.23,2042.79,2112.5425,5
2023-12-01 05:15:00,2042.8,2045.33,2041.58,2045.32,2546.7734,5
2023-12-01 05:30:00,2045.33,2046.6,2043.43,2046.33,1706.8116,5
2023-12-01 05:45:00,2046.33,2048.83,2045.39,2045.54,1847.7489,5
2023-12-01 06:00:00,2045.55,2050.0,2043.33,2046.55,2174.079,6
2023-12-01 06:15:00,2046.54,2048.61,2044.95,2047.84,1465.0002,6
2023-12-01 06:30:00,2047.84,2047.85,2043.87,2044.15,1762.1368,6
2023-12-01 06:45:00,2044.15,2044.97,2043.34,2043.34,766.742,6
2023-12-01 07:00:00,2043.35,2045.4,2040.52,2044.0,2297.169,7
2023-12-01 07:15:00,2044.0,2048.2,2043.39,2048.11,1056.4568,7
2023-12-01 07:30:00,2048.11,2052.32,2048.11,2051.01,1907.6607,7
2023-12-01 07:45:00,2051.0,2054.75,2050.64,2051.96,1793.9914,7
2023-12-01 08:00:00,2051.95,2053.21,2047.79,2048.22,2678.7304,8
2023-12-01 08:15:00,2048.22,2048.76,2045.4,2047.0,1836.3372,8
2023-12-01 08:30:00,2047.0,2049.59,2045.04,2048.65,1814.4238,8
2023-12-01 08:45:00,2048.64,2050.06,2045.24,2049.8,1610.0729,8
2023-12-01 09:00:00,2049.8,2053.02,2047.34,2053.02,1873.7685,9
2023-12-01 09:15:00,2053.02,2074.58,2052.9,2073.6,17328.7495,9
2023-12-01 09:30:00,2073.6,2086.85,2072.8,2083.74,17780.3787,9
2023-12-01 09:45:00,2083.73,2091.12,2080.37,2088.52,9050.3082,9
2023-12-01 10:00:00,2088.52,2090.0,2083.82,2086.99,5360.0158,10
2023-12-01 10:15:00,2087.0,2089.02,2082.97,2085.06,5360.2615,10
2023-12-01 10:30:00,2085.06,2090.88,2084.73,2090.87,2464.744,10
2023-12-01 10:45:00,2090.88,2093.76,2085.04,2086.15,6043.6759,10
2023-12-01 11:00:00,2086.14,2090.02,2083.46,2087.82,4671.1913,11
2023-12-01 11:15:00,2087.81,2092.85,2087.0,2089.37,3431.4392,11
2023-12-01 11:30:00,2089.37,2093.0,2087.82,2090.6,2414.2691,11
2023-12-01 11:45:00,2090.61,2092.32,2088.14,2092.2,2890.1611,11
2023-12-01 12:00:00,2092.2,2096.89,2089.82,2096.01,9544.2021,12
2023-12-01 12:15:00,2096.01,2100.0,2092.26,2098.82,5366.4019,12
2023-12-01 12:30:00,2098.82,2100.51,2093.96,2095.61,6157.6137,12
2023-12-01 12:45:00,2095.6,2095.78,2093.04,2094.89,2670.9632,12
2023-12-01 13:00:00,2094.89,2096.99,2091.42,2091.71,2561.4279,13
2023-12-01 13:15:00,2091.71,2096.0,2091.43,2095.28,2077.6468,13
2023-12-01 13:30:00,2095.28,2095.96,2091.6,2094.72,1716.501,13
